Temperature (C),Humidity,Wind Speed (km/h),Precip Type
28,90,25,1
24,88,28,1
26,100,35,1
22,92,12,1
28,81,27,1
28,93,27,1
27,83,10,1
24,98,27,1
27,100,22,1
25,94,26,1
27,91,33,1
23,88,34,1
29,93,17,1
26,88,31,1
30,97,24,1
24,83,17,1
22,89,35,1
29,100,13,1
23,100,16,1
27,95,33,1
29,83,16,1
22,88,11,1
23,95,16,1
25,81,18,1
25,85,28,1
30,88,14,1
29,94,17,1
28,83,33,1
25,90,29,1
27,88,15,1
22,88,15,1
27,92,31,1
25,87,16,1
30,88,29,1
23,96,18,1
29,96,22,1
26,97,32,1
25,93,33,1
28,93,23,1
29,88,25,1
26,84,25,1
29,83,28,1
24,93,19,1
24,100,25,1
26,83,30,1
25,94,16,1
22,89,22,1
30,90,11,1
29,98,31,1
26,96,16,1
27,88,27,1
30,94,26,1
22,85,12,1
29,100,16,1
23,83,25,1
26,90,34,1
26,94,19,1
28,99,19,1
29,92,26,1
25,100,15,1
30,86,28,1
25,89,20,1
22,89,21,1
29,88,18,1
27,94,15,1
22,91,26,1
24,88,14,1
23,96,17,1
29,82,35,1
30,90,29,1
30,98,17,1
30,96,15,1
26,84,31,1
25,81,12,1
23,85,11,1
22,88,22,1
27,100,34,1
22,86,32,1
25,81,12,1
22,81,26,1
26,84,22,1
28,94,18,1
27,81,24,1
22,90,25,1
27,98,23,1
27,90,30,1
28,92,27,1
24,97,28,1
30,87,16,1
28,83,11,1
27,95,20,1
24,93,23,1
26,90,17,1
24,92,19,1
27,95,27,1
30,90,31,1
28,84,19,1
29,90,27,1
29,86,17,1
22,90,20,1
26,82,20,1
27,80,28,1
29,98,28,1
26,87,34,1
25,95,35,1
28,84,17,1
30,92,32,1
29,95,11,1
23,96,34,1
29,83,33,1
24,95,12,1
23,99,22,1
25,91,12,1
30,95,34,1
25,95,30,1
22,86,32,1
25,89,34,1
22,97,28,1
27,97,10,1
30,96,12,1
27,84,21,1
28,92,35,1
29,88,18,1
28,88,20,1
23,88,15,1
27,100,11,1
26,84,25,1
28,85,22,1
27,99,17,1
26,97,13,1
28,87,25,1
27,97,17,1
22,92,15,1
24,90,12,1
26,94,35,1
28,90,25,1
26,91,33,1
25,91,32,1
24,80,35,1
25,87,27,1
28,95,15,1
30,93,24,1
24,82,28,1
30,80,25,1
27,88,30,1
22,91,16,1
24,94,29,1
24,98,14,1
25,87,15,1
23,85,27,1
25,83,10,1
27,90,22,1
26,83,19,1
30,89,23,1
29,93,14,1
25,100,26,1
24,98,30,1
25,93,28,1
25,91,20,1
25,80,25,1
29,98,24,1
25,81,16,1
25,95,18,1
22,100,23,1
25,87,26,1
25,90,29,1
24,91,18,1
24,81,16,1
29,83,31,1
24,86,12,1
28,96,34,1
26,91,12,1
25,82,24,1
28,100,23,1
25,86,17,1
29,98,21,1
30,91,25,1
24,92,23,1
27,97,13,1
26,84,33,1
29,84,32,1
26,95,33,1
30,89,24,1
28,82,35,1
25,88,30,1
30,93,19,1
26,80,14,1
23,84,33,1
24,82,33,1
25,97,35,1
24,80,28,1
26,80,17,1
27,92,29,1
25,86,23,1
22,95,18,1
29,86,28,1
23,82,25,1
22,95,29,1
24,84,10,1
22,92,31,1
24,85,35,1
29,81,15,1
27,82,25,1
27,99,20,1
25,98,34,1
24,90,16,1
28,83,18,1
27,80,18,1
29,81,31,1
22,99,27,1
30,85,10,1
28,96,28,1
30,82,18,1
29,82,34,1
29,89,24,1
25,85,29,1
29,86,11,1
27,94,35,1
26,83,27,1
22,86,11,1
26,82,29,1
25,96,11,1
27,84,26,1
27,83,31,1
28,96,17,1
27,88,26,1
22,95,23,1
30,81,15,1
29,92,11,1
30,95,10,1
28,88,14,1
29,83,21,1
22,93,28,1
27,96,29,1
25,89,31,1
25,94,32,1
22,86,34,1
29,90,27,1
27,87,17,1
29,85,10,1
30,95,16,1
30,93,30,1
30,85,22,1
29,97,32,1
23,98,26,1
23,93,35,1
30,94,35,1
25,82,34,1
25,96,21,1
29,83,26,1
22,81,13,1
30,91,14,1
23,92,26,1
25,82,11,1
23,84,12,1
28,84,12,1
24,99,32,1
26,88,16,1
24,96,26,1
24,97,33,1
26,89,24,1
23,98,35,1
23,81,30,1
27,98,27,1
29,95,24,1
23,98,31,1
23,94,32,1
26,83,30,1
28,99,24,1
23,82,34,1
30,90,15,1
28,93,34,1
26,100,31,1
29,99,35,1
29,99,31,1
25,99,17,1
28,99,33,1
22,97,16,1
27,83,32,1
29,81,14,1
29,86,24,1
22,90,33,1
27,96,24,1
22,94,32,1
22,90,11,1
27,82,34,1
27,91,21,1
28,94,34,1
24,95,20,1
26,100,14,1
24,91,12,1
30,95,15,1
25,94,18,1
26,83,10,1
27,80,19,1
25,81,12,1
24,92,21,1
25,80,27,1
22,92,30,1
23,87,29,1
22,99,26,1
29,86,16,1
27,84,20,1
29,89,15,1
29,98,26,1
24,81,19,1
25,87,11,1
30,98,32,1
26,94,19,1
30,82,17,1
22,96,32,1
30,100,20,1
29,86,29,1
30,98,18,1
23,97,31,1
26,90,17,1
28,85,26,1
26,85,26,1
27,93,27,1
23,89,17,1
30,90,17,1
25,81,11,1
24,86,21,1
22,91,18,1
23,92,18,1
26,97,19,1
24,81,21,1
25,98,22,1
30,94,22,1
23,96,23,1
23,99,21,1
25,87,22,1
27,93,23,1
26,89,10,1
26,98,34,1
30,100,35,1
28,100,22,1
30,83,27,1
28,87,22,1
27,93,35,1
23,92,18,1
23,80,10,1
24,86,31,1
22,88,16,1
27,88,23,1
22,82,19,1
29,82,10,1
29,89,22,1
22,99,12,1
24,89,34,1
28,99,22,1
27,81,12,1
22,93,14,1
28,86,34,1
25,83,29,1
28,90,33,1
29,84,16,1
24,83,20,1
26,86,13,1
25,81,19,1
27,93,35,1
27,85,20,1
22,96,24,1
30,99,18,1
26,80,23,1
23,89,32,1
23,81,30,1
24,83,18,1
25,83,28,1
23,85,20,1
28,95,29,1
24,98,24,1
23,91,20,1
26,96,33,1
27,86,33,1
22,95,21,1
30,87,13,1
28,90,14,1
22,84,21,1
28,92,27,1
24,98,19,1
23,93,12,1
23,87,15,1
29,85,10,1
28,80,20,1
25,84,12,1
25,93,10,1
28,80,23,1
30,98,31,1
22,99,18,1
26,87,19,1
27,81,34,1
24,82,14,1
26,91,22,1
23,83,26,1
25,80,18,1
26,98,30,1
30,85,20,1
30,81,18,1
29,81,19,1
29,80,17,1
26,86,21,1
22,91,30,1
24,86,32,1
26,86,35,1
26,97,35,1
25,91,11,1
30,80,21,1
27,85,31,1
30,82,27,1
27,80,23,1
28,95,23,1
24,80,11,1
23,83,28,1
29,89,22,1
28,91,18,1
24,100,24,1
29,90,24,1
27,87,10,1
24,97,24,1
25,98,34,1
29,90,26,1
30,86,17,1
22,99,23,1
22,80,35,1
28,95,33,1
23,99,29,1
24,100,19,1
29,97,34,1
25,92,27,1
27,89,16,1
24,91,15,1
29,80,14,1
22,86,31,1
26,90,20,1
29,87,20,1
26,87,17,1
22,80,22,1
22,84,18,1
28,86,27,1
26,89,13,1
24,98,35,1
28,80,27,1
23,83,24,1
28,89,20,1
26,81,23,1
29,93,14,1
29,97,22,1
26,93,32,1
25,100,14,1
28,83,32,1
29,80,29,1
26,95,20,1
22,84,23,1
22,100,12,1
22,83,32,1
25,81,12,1
30,84,28,1
24,98,17,1
22,80,20,1
26,95,31,1
22,95,16,1
22,99,20,1
30,94,26,1
22,91,16,1
22,93,32,1
22,98,15,1
29,83,20,1
24,90,32,1
29,93,30,1
29,83,12,1
30,85,30,1
25,99,26,1
27,99,18,1
24,82,11,1
27,91,18,1
27,81,16,1
24,84,33,1
26,87,20,1
24,94,33,1
23,100,30,1
22,100,12,1
22,82,28,1
25,88,21,1
27,93,16,1
27,80,24,1
25,87,25,1
28,83,35,1
24,94,33,1
25,98,10,1
28,96,25,1
28,90,24,1
26,100,17,1
22,98,12,1
28,96,16,1
28,84,13,1
29,93,11,1
23,90,15,1
25,84,12,1
29,93,17,1
23,87,34,1
27,81,12,1
24,82,21,1
24,81,21,1
23,99,21,1
28,83,23,1
25,92,34,1
22,97,16,1
24,83,17,1
27,83,35,1
23,86,26,1
23,84,22,1
22,95,33,1
26,84,17,1
24,93,19,1
30,100,24,1
25,99,14,1
27,85,34,1
25,87,31,1
25,90,17,1
28,100,30,1
25,85,10,1
29,96,21,1
28,99,22,1
25,96,23,1
22,93,24,1
23,89,25,1
26,96,18,1
29,93,21,1
24,96,21,1
24,85,13,1
22,89,31,1
29,81,10,1
24,81,32,1
26,88,26,1
27,98,23,1
28,86,16,1
29,81,20,1
25,100,35,1
27,95,30,1
26,80,22,1
29,99,15,1
22,89,11,1
26,88,17,1
22,92,12,1
25,99,24,1
28,97,20,1
22,92,29,1
24,86,25,1
27,91,23,1
26,87,22,1
25,84,23,1
29,99,18,1
25,87,28,1
28,100,24,1
24,84,15,1
28,90,12,1
22,80,14,1
26,87,33,1
25,83,26,1
27,98,12,1
22,94,27,1
28,80,18,1
27,85,23,1
27,100,23,1
23,97,15,1
30,92,27,1
28,89,22,1
24,91,23,1
27,86,16,1
30,89,13,1
28,83,14,1
30,80,30,1
26,82,30,1
24,98,13,1
28,97,23,1
23,88,12,1
30,87,24,1
22,91,25,1
28,99,19,1
29,87,23,1
29,98,35,1
27,95,32,1
23,95,32,1
22,96,10,1
22,97,27,1
23,86,19,1
27,84,17,1
28,85,27,1
23,92,34,1
28,99,35,1
29,87,29,1
22,98,24,1
30,97,13,1
24,91,26,1
26,85,15,1
30,99,29,1
23,89,29,1
30,81,31,1
28,92,22,1
30,91,29,1
22,100,26,1
29,97,25,1
30,93,25,1
26,85,15,1
22,99,11,1
25,88,11,1
28,81,33,1
29,86,25,1
26,81,30,1
26,100,28,1
25,93,28,1
22,93,25,1
26,90,22,1
25,84,29,1
24,94,31,1
27,87,21,1
30,85,11,1
23,84,10,1
27,82,29,1
23,100,16,1
23,80,13,1
24,81,14,1
27,92,27,1
24,88,27,1
22,88,14,1
25,94,12,1
23,93,18,1
25,81,14,1
30,84,17,1
26,84,18,1
30,88,12,1
27,91,22,1
24,87,24,1
22,97,35,1
22,92,35,1
27,89,35,1
27,86,32,1
25,85,17,1
25,88,19,1
26,98,23,1
23,82,23,1
28,89,33,1
28,82,31,1
23,96,18,1
27,93,17,1
25,80,34,1
26,90,20,1
28,95,16,1
26,81,21,1
22,89,22,1
28,100,14,1
30,85,18,1
28,86,33,1
27,80,25,1
27,84,10,1
30,85,33,1
24,87,35,1
29,91,27,1
25,96,34,1
23,95,29,1
29,90,11,1
23,94,32,1
26,91,25,1
23,85,28,1
26,81,24,1
22,82,14,1
27,99,30,1
24,97,17,1
30,89,30,1
26,93,27,1
27,89,26,1
29,91,24,1
29,82,26,1
25,85,18,1
29,97,13,1
29,84,31,1
27,83,12,1
22,97,13,1
28,94,25,1
25,91,34,1
28,84,25,1
30,98,23,1
23,96,12,1
22,94,35,1
30,94,23,1
30,95,11,1
29,86,17,1
22,94,27,1
28,86,17,1
26,95,12,1
29,93,28,1
30,81,14,1
24,86,13,1
22,91,17,1
23,87,30,1
29,82,32,1
26,91,32,1
30,92,24,1
28,88,10,1
24,100,31,1
29,82,17,1
26,92,24,1
28,99,20,1
27,86,17,1
27,92,27,1
23,97,31,1
25,90,29,1
28,91,34,1
29,94,25,1
28,90,18,1
22,91,28,1
24,92,11,1
23,98,25,1
24,84,21,1
30,95,30,1
25,89,21,1
28,84,34,1
28,99,16,1
29,92,28,1
24,95,24,1
24,97,15,1
22,86,31,1
25,95,34,1
26,96,14,1
25,89,18,1
28,97,12,1
24,84,21,1
26,94,35,1
30,94,30,1
28,80,30,1
27,92,24,1
29,93,10,1
28,81,30,1
22,97,15,1
30,94,35,1
25,87,21,1
28,81,33,1
23,94,13,1
28,89,24,1
22,95,16,1
30,85,12,1
30,98,32,1
23,95,13,1
25,97,14,1
27,96,18,1
24,92,30,1
26,90,33,1
24,87,10,1
30,96,12,1
30,89,24,1
30,80,22,1
28,81,25,1
25,96,25,1
29,90,33,1
29,91,23,1
27,90,26,1
27,87,29,1
25,97,16,1
27,86,19,1
25,81,15,1
24,85,35,1
30,95,14,1
25,87,24,1
27,95,13,1
27,89,24,1
23,95,14,1
28,82,29,1
26,83,20,1
25,85,32,1
29,98,35,1
27,81,18,1
22,86,35,1
23,92,10,1
28,93,18,1
22,92,17,1
23,100,19,1
28,81,23,1
23,82,20,1
24,83,13,1
26,83,14,1
28,89,32,1
24,86,13,1
27,90,31,1
28,93,18,1
26,83,32,1
28,90,19,1
25,85,24,1
29,89,26,1
28,81,35,1
25,88,34,1
23,88,29,1
27,93,31,1
26,92,31,1
26,98,15,1
29,88,25,1
23,91,35,1
25,80,33,1
25,89,30,1
22,93,17,1
28,86,15,1
24,82,23,1
22,86,32,1
27,90,14,1
28,89,25,1
29,99,25,1
26,80,15,1
28,94,20,1
29,89,31,1
23,96,17,1
29,89,33,1
28,86,21,1
27,81,26,1
22,87,11,1
26,99,33,1
30,82,21,1
24,93,17,1
29,92,34,1
22,87,27,1
26,93,28,1
22,86,25,1
23,90,35,1
26,99,32,1
22,99,11,1
24,96,27,1
29,92,33,1
29,98,21,1
30,91,25,1
28,88,21,1
29,98,10,1
27,100,15,1
26,98,25,1
29,81,13,1
29,99,19,1
26,96,34,1
24,89,23,1
26,87,28,1
30,84,22,1
26,94,26,1
25,86,16,1
30,85,31,1
28,89,19,1
28,84,35,1
24,92,28,1
29,94,32,1
30,86,14,1
30,89,17,1
24,80,26,1
29,89,21,1
25,90,12,1
30,85,20,1
22,100,20,1
27,88,19,1
23,85,24,1
23,86,16,1
23,97,33,1
23,84,10,1
29,89,26,1
27,80,15,1
30,100,34,1
23,100,18,1
25,82,29,1
29,85,21,1
28,89,11,1
29,93,33,1
23,100,30,1
24,96,18,1
30,90,32,1
23,82,20,1
29,88,17,1
26,83,30,1
27,90,20,1
28,99,31,1
27,88,13,1
28,90,27,1
24,92,10,1
25,94,26,1
26,94,29,1
29,82,30,1
24,80,35,1
27,98,17,1
25,100,23,1
24,89,23,1
27,97,11,1
29,83,26,1
30,94,18,1
27,98,24,1
23,92,18,1
24,91,32,1
28,90,29,1
26,100,12,1
29,94,35,1
28,98,28,1
24,82,32,1
28,84,16,1
24,87,16,1
30,99,19,1
30,86,12,1
26,83,30,1
28,84,21,1
24,95,28,1
30,95,22,1
25,98,16,1
26,92,21,1
26,84,21,1
29,98,35,1
23,89,12,1
22,87,20,1
28,95,10,1
24,99,25,1
29,94,25,1
28,83,29,1
30,97,12,1
27,84,23,1
23,96,35,1
25,89,28,1
25,99,18,1
26,80,11,1
22,86,22,1
22,83,16,1
26,89,29,1
28,82,21,1
30,93,31,1
29,86,15,1
22,82,22,1
22,97,32,1
25,88,25,1
30,82,10,1
24,99,19,1
25,86,24,1
24,85,28,1
22,94,16,1
28,90,24,1
27,89,22,1
29,95,35,1
24,81,25,1
22,98,23,1
22,94,21,1
23,82,16,1
25,99,11,1
27,83,14,1
23,82,25,1
26,93,19,1
26,92,31,1
30,93,26,1
30,99,16,1
30,100,28,1
24,100,32,1
23,93,20,1
25,83,20,1
25,88,35,1
23,86,18,1
23,88,15,1
24,85,17,1
26,89,26,1
28,96,28,1
27,82,10,1
30,80,34,1
28,80,17,1
29,92,14,1
25,93,13,1
25,80,33,1
28,87,25,1
24,93,17,1
29,93,29,1
27,86,14,1
28,94,16,1
28,90,32,1
27,88,23,1
22,99,10,1
26,85,32,1
29,98,25,1
23,92,29,1
29,81,22,1
25,94,31,1
28,92,29,1
30,88,13,1
28,97,10,1
30,93,17,1
28,95,25,1
30,99,20,1
25,96,24,1
28,89,19,1
27,89,29,1
27,94,11,1
24,100,17,1
29,99,35,1
23,96,11,1
22,93,16,1
30,95,24,1
30,96,15,1
29,100,30,1
30,89,31,1
26,82,29,1
25,93,11,1
25,85,26,1
22,95,28,1
26,99,23,1
26,83,22,1
25,97,16,1
22,92,32,1
24,85,31,1
23,87,29,1
27,100,17,1
23,96,19,1
26,99,13,1
22,80,32,1
24,90,10,1
22,98,10,1
25,81,24,1
22,83,23,1
28,100,17,1
30,85,18,1
28,86,32,1
23,92,26,1
25,83,24,1
29,81,20,1
26,98,31,1
29,84,35,1
29,90,26,1
26,88,20,1
22,82,32,1
24,84,14,1
22,95,26,1
25,84,31,1
28,99,21,1
29,96,11,1
28,89,33,1
23,96,28,1
22,98,28,1
30,86,13,1
30,90,23,1
26,94,28,1
25,89,32,1
26,81,28,1
28,95,25,1
27,98,24,1
29,82,30,1
25,97,32,1
30,89,22,1
23,87,17,1
29,83,17,1
29,85,34,1
30,93,33,1
26,95,34,1
23,87,25,1
30,97,32,1
27,89,28,1
28,83,20,1
22,91,11,1
30,89,26,1
22,88,11,1
25,91,35,1
27,92,24,1
25,96,28,1
29,97,29,1
30,100,20,1
27,95,14,1
29,97,13,1
30,89,35,1
28,87,29,1
23,83,26,1
27,81,14,1
23,84,27,1
23,83,19,1
28,97,10,1
22,93,34,1
22,88,14,1
27,81,24,1
28,87,26,1
28,91,29,1
27,100,31,1
26,99,34,1
24,98,13,1
22,86,11,1
23,80,17,1
26,89,22,1
24,92,27,1
30,90,32,1
30,87,28,1
25,82,26,1
27,98,23,1
23,81,26,1
22,92,21,1
23,83,25,1
28,96,31,1
30,93,21,1
29,90,23,1
23,95,16,1
30,84,18,1
27,97,15,1
29,95,32,1
30,81,17,1
22,94,17,1
24,95,32,1
30,84,18,1
22,96,13,1
22,90,11,1
26,90,26,1
24,82,25,1
29,83,23,1
24,89,31,1
27,100,32,1
29,89,35,1
23,88,25,1
26,87,29,1
27,87,11,1
24,80,15,1
29,90,28,1
25,80,24,1
30,97,20,1
27,83,27,1
25,93,18,1
23,85,10,1
28,83,19,1
26,94,15,1
24,89,29,1
25,95,33,1
30,86,29,1
25,82,12,1
22,93,21,1
29,97,21,1
26,85,30,1
28,98,15,1
22,90,11,1
24,82,23,1
22,91,15,1
22,97,22,1
22,90,33,1
29,89,30,1
30,93,12,1
28,90,25,1
27,94,22,1
24,80,10,1
27,84,22,1
29,89,15,1
30,83,16,1
30,95,17,1
28,98,29,1
25,89,11,1
23,89,22,1
24,100,18,1
22,87,26,1
26,88,21,1
23,82,13,1
24,84,25,1
25,80,29,1
30,94,12,1
25,97,10,1
27,84,20,1
23,81,32,1
29,94,15,1
29,89,29,1
26,97,11,1
29,98,34,1
24,95,29,1
25,82,16,1
29,97,30,1
25,88,20,1
29,92,27,1
26,83,30,1
24,83,18,1
23,90,35,1
26,93,29,1
24,100,34,1
27,91,21,1
22,89,29,1
23,89,17,1
29,100,29,1
27,92,28,1
22,88,19,1
30,91,17,1
25,92,25,1
29,92,11,1
30,92,17,1
27,99,24,1
30,100,33,1
27,81,32,1
25,92,16,1
23,82,21,1
25,91,13,1
28,93,32,1
26,81,21,1
26,99,12,1
26,81,31,1
27,96,21,1
24,99,28,1
30,90,32,1
29,96,16,1
27,97,16,1
29,86,32,1
29,83,35,1
26,82,26,1
23,89,27,1
23,87,13,1
28,92,32,1
25,94,15,1
28,86,21,1
23,81,17,1
28,94,33,1
30,99,18,1
27,82,17,1
27,90,18,1
25,81,25,1
24,87,11,1
25,92,27,1
25,84,20,1
26,81,35,1
28,89,31,1
27,94,29,1
26,85,31,1
26,82,27,1
27,98,20,1
24,84,31,1
30,92,12,1
27,81,15,1
26,95,29,1
27,95,15,1
23,82,29,1
29,97,35,1
26,98,17,1
24,88,32,1
24,100,15,1
23,86,16,1
26,86,33,1
22,83,28,1
30,89,15,1
30,87,29,1
29,96,32,1
22,96,10,1
30,90,16,1
22,97,35,1
23,88,15,1
29,98,23,1
22,98,23,1
27,89,16,1
28,93,17,1
28,95,21,1
28,92,30,1
30,99,16,1
25,96,33,1
29,93,34,1
24,84,12,1
29,84,28,1
30,87,13,1
30,83,21,1
24,88,14,1
22,80,31,1
22,97,20,1
26,99,33,1
24,87,12,1
25,96,20,1
27,86,25,1
25,99,32,1
24,99,32,1
27,98,33,1
29,88,21,1
30,86,30,1
29,92,32,1
28,84,25,1
23,97,20,1
26,80,23,1
22,83,21,1
30,92,12,1
28,99,14,1
25,87,26,1
30,90,34,1
29,99,12,1
22,87,12,1
28,94,31,1
29,93,26,1
30,96,19,1
24,91,21,1
26,90,12,1
24,85,19,1
23,83,18,1
23,92,26,1
26,96,10,1
30,83,13,1
30,99,23,1
23,89,24,1
24,100,15,1
25,85,18,1
26,96,25,1
26,87,20,1
30,88,13,1
22,99,20,1
25,97,20,1
26,92,17,1
23,99,11,1
27,83,12,1
22,91,33,1
29,93,34,1
27,91,16,1
27,90,21,1
25,83,25,1
23,100,20,1
27,97,11,1
23,82,35,1
23,82,24,1
27,100,35,1
25,82,21,1
25,80,28,1
27,82,30,1
